Episode,Steps,Reward
1,333,6
2,202,4
3,201,3.333333333
4,179,2.75
5,280,3
6,309,3.333333333
7,256,3.857142857
8,352,4.125
9,291,4.222222222
10,247,4.2
11,278,4.818181818
12,516,6.083333333
13,303,6.538461538
14,385,7.071428571
15,329,7.2
16,338,7.5625
17,248,7.529411765
18,351,7.444444444
19,296,7.315789474
20,299,7.35
21,461,7.571428571
22,363,7.681818182
23,464,8
24,327,7.916666667
25,433,8.2
26,348,8.115384615
27,258,7.962962963
28,475,8
29,431,8.379310345
30,486,8.9
31,411,8.838709677
32,551,9.125
33,661,9.666666667
34,491,10.08823529
35,493,10.11428571
36,449,10.44444444
37,513,10.40540541
38,410,10.34210526
39,567,10.87179487
40,415,10.875
41,358,10.75609756
42,737,10.97619048
43,525,11.13953488
44,540,11.38636364
45,557,11.8
46,672,11.89130435
47,651,12
48,604,12.10416667
49,585,12.20408163
50,537,12.46
51,655,12.8627451
52,461,13.05769231
53,358,12.9245283
54,535,12.96296296
55,534,13.25454545
56,625,13.76785714
57,594,14
58,614,14.20689655
59,859,14.55932203
60,801,14.81666667
61,592,15.09836066
62,658,15.56451613
63,762,15.96825397
64,674,16.296875
65,645,16.61538462
66,633,16.84848485
67,899,17.14925373
68,774,17.30882353
69,489,17.30434783
70,621,17.57142857
71,895,17.88732394
72,876,18.16666667
73,575,18.34246575
74,941,18.67567568
75,773,18.68
76,825,19.02631579
77,587,19
78,584,18.91025641
79,773,19.02531646
80,942,19.175
81,597,19.16049383
82,757,19.25609756
83,517,19.20481928
84,916,19.58333333
85,851,19.91764706
86,883,20.24418605
87,927,20.64367816
88,806,20.98863636
89,942,21.26966292
90,772,21.38888889
91,846,21.56043956
92,451,21.56521739
93,625,21.53763441
94,616,21.76595745
95,888,22.06315789
96,647,22.3125
97,1062,22.57731959
98,879,22.74489796
99,828,22.97979798
100,959,23.27
101,1054,23.42574257
102,934,23.49019608
103,907,23.58252427
104,805,23.77884615
105,832,23.84761905
106,715,23.91509434
107,952,24.23364486
108,883,24.42592593
109,798,24.59633028
110,859,24.78181818
111,885,24.81081081
112,909,24.97321429
113,973,25.10619469
114,916,25.34210526
115,985,25.51304348
116,898,25.56896552
117,1017,25.73504274
118,926,25.94067797
119,1066,26.1512605
120,1032,26.38333333
121,1134,26.61157025
122,853,26.73770492
