Steps,Episode number,Episode reward,Episode reward irl,Episode reward combined
333,1,6,6,6
202,2,4,4,4
201,3,3.333333333,3.333333333,3.333333333
179,4,2.75,2.75,2.75
280,5,3,3,3
309,6,3.333333333,3.333333333,3.333333333
256,7,3.857142857,3.857142857,3.857142857
352,8,4.125,4.125,4.125
291,9,4.222222222,4.222222222,4.222222222
247,10,4.2,4.2,4.2
278,11,4.818181818,4.818181818,4.818181818
516,12,6.083333333,6.083333333,6.083333333
303,13,6.538461538,6.538461538,6.538461538
385,14,7.071428571,7.071428571,7.071428571
329,15,7.2,7.2,7.2
338,16,7.5625,7.5625,7.5625
248,17,7.529411765,7.529411765,7.529411765
351,18,7.444444444,7.444444444,7.444444444
296,19,7.315789474,7.315789474,7.315789474
299,20,7.35,7.35,7.35
461,21,7.571428571,7.571428571,7.571428571
363,22,7.681818182,7.681818182,7.681818182
464,23,8,8,8
327,24,7.916666667,7.916666667,7.916666667
433,25,8.2,8.2,8.2
348,26,8.115384615,8.115384615,8.115384615
258,27,7.962962963,7.962962963,7.962962963
475,28,8,8,8
431,29,8.379310345,8.379310345,8.379310345
486,30,8.9,8.9,8.9
411,31,8.838709677,8.838709677,8.838709677
551,32,9.125,9.125,9.125
661,33,9.666666667,9.666666667,9.666666667
491,34,10.08823529,10.08823529,10.08823529
493,35,10.11428571,10.11428571,10.11428571
449,36,10.44444444,10.44444444,10.44444444
513,37,10.40540541,10.40540541,10.40540541
410,38,10.34210526,10.34210526,10.34210526
567,39,10.87179487,10.87179487,10.87179487
415,40,10.875,10.875,10.875
358,41,10.75609756,10.75609756,10.75609756
737,42,10.97619048,10.97619048,10.97619048
525,43,11.13953488,11.13953488,11.13953488
540,44,11.38636364,11.38636364,11.38636364
557,45,11.8,11.8,11.8
672,46,11.89130435,11.89130435,11.89130435
651,47,12,12,12
604,48,12.10416667,12.10416667,12.10416667
585,49,12.20408163,12.20408163,12.20408163
537,50,12.46,12.46,12.46
655,51,12.8627451,12.8627451,12.8627451
461,52,13.05769231,13.05769231,13.05769231
358,53,12.9245283,12.9245283,12.9245283
535,54,12.96296296,12.96296296,12.96296296
534,55,13.25454545,13.25454545,13.25454545
625,56,13.76785714,13.76785714,13.76785714
594,57,14,14,14
614,58,14.20689655,14.20689655,14.20689655
859,59,14.55932203,14.55932203,14.55932203
801,60,14.81666667,14.81666667,14.81666667
592,61,15.09836066,15.09836066,15.09836066
658,62,15.56451613,15.56451613,15.56451613
762,63,15.96825397,15.96825397,15.96825397
674,64,16.296875,16.296875,16.296875
645,65,16.61538462,16.61538462,16.61538462
633,66,16.84848485,16.84848485,16.84848485
899,67,17.14925373,17.14925373,17.14925373
774,68,17.30882353,17.30882353,17.30882353
489,69,17.30434783,17.30434783,17.30434783
621,70,17.57142857,17.57142857,17.57142857
895,71,17.88732394,17.88732394,17.88732394
876,72,18.16666667,18.16666667,18.16666667
