Episode,Steps,Reward
1,249,3
2,211,2.5
3,227,2.666666667
4,250,3
5,296,3.4
6,257,3.5
7,405,5
8,347,5.25
9,417,6.333333333
10,471,7.8
11,329,7.909090909
12,538,8.416666667
13,271,8.615384615
14,407,9.071428571
15,453,9.066666667
16,507,9.9375
17,622,10.82352941
18,563,11.44444444
19,612,11.78947368
20,563,12.4
21,647,13.19047619
22,522,14.04545455
23,747,14.39130435
24,690,15.25
25,793,15.52
26,578,15.5
27,714,15.85185185
28,668,16.10714286
29,914,16.55172414
30,727,16.76666667
31,925,17.29032258
32,891,18.125
33,826,18.36363636
34,639,18.67647059
35,1071,19.51428571
36,867,20.11111111
37,780,20.43243243
38,795,20.94736842
39,846,21.28205128
40,870,21.65
41,1009,21.97560976
42,969,22.23809524
43,1018,22.69767442
44,914,23.20454545
45,1267,24.13333333
46,768,24.41304348
47,865,24.72340426
48,613,24.72916667
49,1120,25.2244898
50,963,25.5
51,825,25.78431373
52,1045,26.42307692
53,1146,27.1509434
54,882,27.62962963
55,825,27.89090909
56,898,28.28571429
57,804,28.36842105
58,956,28.96551724
59,962,29.42372881
60,1065,29.93333333
61,955,30.37704918
62,1032,30.90322581
63,1120,31.46031746
64,850,31.53125
65,833,31.53846154
66,761,31.43939394
67,835,31.43283582
68,923,31.80882353
69,979,32.33333333
70,1063,32.72857143
71,1086,33.16901408
72,943,33.81944444
73,1023,34.46575342
74,1071,35.08108108
75,1036,35.70666667
76,1220,36.27631579
77,840,36.32467532
78,1185,37.23076923
79,774,37.06329114
80,946,37.35
81,948,37.58024691
82,1002,37.84146341
83,1099,38.39759036
84,1011,38.85714286
85,802,38.75294118
86,1133,39.11627907
87,1067,39.81609195
88,1194,40.48863636
89,600,40.35955056
90,466,40.08888889
91,686,39.9010989
92,1085,40.01086957
93,842,39.96774194
94,981,40
95,1180,40.72631579
96,590,40.47916667
97,1185,41.07216495
98,1225,42.30612245
99,1165,42.78787879
100,1010,43.16
101,1061,43.31683168
102,1028,43.79411765
103,1033,44.08737864
104,1047,44.58653846
105,1083,44.74285714
106,759,44.63207547
107,706,44.42056075
108,848,44.43518519
109,1013,44.44036697
110,885,44.52727273
111,1142,44.99099099
112,1354,45.80357143
113,1275,46.91150442
114,1132,47.46491228
115,1149,47.90434783
116,687,47.65517241
117,911,47.72649573
118,705,47.62711864
119,852,47.54621849
120,1078,47.76666667
121,1114,48.10743802
122,1245,48.82786885
123,1022,49.08943089
124,1228,50.16129032
125,1002,50.368
126,1014,50.46825397
127,780,50.31496063
128,1011,50.5703125
129,1047,50.89147287
130,1113,51.16923077
131,1117,51.15267176
132,1309,51.62121212
133,1337,52.61654135
134,893,52.6119403
135,829,52.37037037
136,1151,52.73529412
137,1107,53.10218978
138,937,53.18115942
139,1199,53.51798561
140,821,53.41428571
141,1072,53.55319149
142,654,53.34507042
143,1175,53.6993007
144,1292,54.28472222
145,1103,54.3862069
146,1280,55.02054795
147,1338,55.89115646
148,1260,56.41891892
149,1101,56.59060403
150,1289,57.20666667
151,1216,57.34437086
152,1132,57.66447368
153,1395,57.85620915
154,1343,58.31168831
155,1138,59.31612903
156,1170,59.65384615
157,1361,60.75159236
158,994,60.82278481
159,889,60.79245283
160,1091,61.06875
161,1289,61.65217391
162,1205,62.08641975
163,1065,62.28834356
164,813,62.1402439
165,461,61.89090909
166,631,61.62650602
167,829,61.47904192
168,649,61.2797619
169,918,61.25443787
170,645,61.13529412
171,1222,61.40350877
172,1136,61.65116279
173,1451,62.69364162
174,1233,63.16091954
175,1373,63.86857143
176,844,63.79545455
177,960,63.85875706
178,764,63.66292135
179,459,63.37430168
180,1312,64.16111111
181,1243,65.36464088
182,1361,65.97802198
183,870,65.87978142
184,1266,66.22826087
185,1287,66.68108108
186,1054,66.70967742
187,637,66.4973262
188,986,66.46808511
189,682,66.28571429
190,633,66.03157895
191,1197,67.20942408
192,967,67.390625
193,1146,68.65284974
194,1102,68.72164948
195,1199,68.99487179
196,1274,70.31632653
197,1214,71.65482234
198,1135,72.91414141
199,1360,74.38693467
200,1246,75.625
201,988,75.50746269
202,888,75.30693069
203,782,75.08866995
204,646,74.89215686
205,1162,75.75609756
206,1090,75.84951456
207,1468,77.15458937
208,1416,78.57692308
209,521,78.29186603
210,1215,78.36666667
211,955,78.24170616
212,716,78.02358491
213,503,77.76056338
214,1020,77.65420561
215,1352,78.73953488
216,1349,80.02777778
217,1429,81.32718894
218,555,81.0412844
219,1159,81.20091324
220,973,81.01363636
221,908,80.86877828
222,904,80.6981982
223,1102,80.79372197
224,1084,80.92857143
225,1137,81.06666667
226,1184,81.26548673
227,1326,81.66079295
228,1448,82.87280702
229,990,82.90393013
230,1251,83.13043478
231,785,82.92640693
232,640,82.65086207
233,985,82.64377682
234,1216,82.83760684
235,1386,83.85531915
236,1185,84.02966102
237,1012,83.97890295
238,1198,84.1092437
239,1342,84.58577406
240,1283,84.85833333
241,1308,85.18257261
242,1471,86.19834711
243,1261,86.781893
244,1411,87.90163934
245,1156,88.28979592
246,1089,88.34146341
247,742,88.12550607
248,745,87.85483871
249,1002,87.76706827
250,876,87.592
251,1094,87.61354582
252,834,87.47619048
253,1102,87.41897233
254,1136,87.47637795
255,1355,88.16078431
256,1290,88.35546875
257,1396,89.39299611
258,1369,90.4379845
259,1213,90.55212355
260,885,90.36538462
261,1305,90.57471264
262,1119,90.67938931
263,1234,90.86311787
264,832,90.67424242
265,1249,90.82264151
266,943,90.66917293
267,1429,91.6741573
268,1171,91.69029851
269,924,91.52788104
270,1123,91.58148148
271,1232,91.77121771
272,1018,91.56617647
273,1448,92.55311355
274,1190,92.66788321
275,1154,93.10909091
276,827,92.93478261
277,620,92.69314079
278,1143,92.69784173
279,1357,93.20430108
280,1318,93.47142857
281,1367,94.40925267
282,1202,94.31205674
283,1062,94.36042403
284,1018,94.16901408
285,1336,94.28421053
286,1109,94.81818182
287,1110,95.34843206
288,956,95.32638889
289,1281,95.4982699
290,1067,95.49655172
291,684,95.37800687
292,1289,96.25342466
293,1491,97.15699659
294,1104,97.19387755
295,1069,97.13559322
296,576,96.85472973
297,790,96.62626263
298,1009,96.53691275
299,1373,97.30769231
300,934,97.12333333
301,1175,97.18604651
302,1035,97.13907285
303,1500,97.79207921
304,1290,97.95394737
305,420,97.70819672
306,1309,97.92156863
307,1402,98.73289902
308,1325,98.97077922
309,1153,99.04854369
310,1095,99.06774194
311,730,98.88102894
312,1164,98.9775641
313,1154,99.16613419
314,1166,99.21974522
315,783,98.98412698
316,1122,99.03797468
