Episode,Steps,Reward
1,134,0
2,133,0
3,138,0
4,298,0
5,217,0
6,216,0
7,228,0
8,285,0
9,250,0
10,226,0
11,248,0
12,237,0
13,226,0
14,223,0
15,246,0
16,264,0
17,271,0
18,303,0
19,236,0
20,251,0
21,354,0
22,396,0
23,331,0
24,371,0
25,380,0
26,323,0
27,335,0
28,409,0
29,339,0
30,315,0
31,351,0
32,476,0
33,447,0
34,450,0
35,451,0
36,571,0
37,591,0
38,478,0
39,614,0
40,689,0
41,590,0
42,562,0
43,588,0
44,731,0
45,551,0
46,583,0
47,577,0
48,523,0
49,500,0
50,592,0
51,625,0
52,605,0
53,689,0
54,736,0
55,695,0
56,784,0
57,534,0
58,668,0
59,593,0
60,567,0
61,657,0
62,738,0
63,621,0
64,668,0
65,911,0
66,787,0
67,619,0
68,593,0
69,632,0
70,729,0
71,689,0
72,844,0
73,939,0
74,929,0
75,773,0
76,826,0
77,815,0
78,692,0
79,990,0
80,948,0
81,837,0
82,814,0
83,956,0
84,836,0
85,713,0
86,935,0
87,1085,0
88,802,0
89,732,0
90,802,0
91,816,0
92,749,0
93,837,0
94,819,0
95,842,0
96,904,0
97,887,0
98,868,0
99,794,0
100,724,0
101,555,0
102,898,0
103,867,0
104,541,0
105,1037,0
106,801,0
107,807,0
108,885,0
109,914,0
110,870,0
111,868,0
112,816,0
113,787,0
114,888,0
115,868,0
116,895,0
117,939,0
118,936,0
119,849,0
120,899,0
121,1067,0
122,979,0
123,811,0
124,806,0
125,670,0
126,794,0
127,1080,0
128,471,0
129,858,0
130,828,0
131,969,0
132,974,0
133,1170,0
134,1152,0
135,1044,0
136,782,0
137,1000,0
138,916,0
139,864,0
140,1079,0
141,1036,0
142,733,0
143,975,0
144,1104,0
145,1062,0
146,790,0
147,1025,0
148,1136,0
149,1042,0
150,1362,0
151,976,0
152,827,0
153,919,0
154,825,0
155,1016,0
156,938,0
157,1026,0
158,1012,0
159,964,0
160,690,0
161,726,0
162,1195,0
163,850,0
164,732,0
165,1038,0
166,1037,0
167,1208,0
168,996,0
169,771,0
170,917,0
171,767,0
172,1406,0
173,987,0
174,969,0
175,1056,0
176,602,0
177,1010,0
178,994,0
179,959,0
180,1332,0
181,834,0
182,941,0
183,808,0
184,928,0
185,986,0
186,1077,0
187,782,0
188,1401,0
189,1332,0
190,1339,0
191,1362,0
192,1389,0
193,1430,0
194,1391,0
195,1072,0
196,925,0
197,1086,0
198,1022,0
199,968,0
200,1045,0
201,1096,0
202,1225,0
203,1362,0
204,1207,0
205,1330,0
206,1294,0
207,1145,0
208,1472,0
209,950,0
210,999,0
211,1130,0
212,1216,0
213,911,0
214,1146,0
215,1480,0
216,1362,0
217,978,0
218,1454,0
219,1444,0
220,863,0
221,955,0
222,1046,0
223,957,0
224,1151,0
225,957,0
226,1444,0
227,1444,0
228,1488,0
229,1134,0
230,1062,0
231,1271,0
232,1155,0
233,1260,0
234,1168,0
235,1388,0
236,1085,0
237,871,0
238,939,0
239,1375,0
240,1120,0
241,1260,0
242,1136,0
243,1395,0
244,1400,0
245,1400,0
246,1482,0
247,1612,0
248,1454,0
249,1215,0
250,1207,0
251,1230,0
252,1148,0
253,486,0
254,1018,0
255,1437,0
256,1515,0
257,1458,0
258,1526,0
259,1435,0
260,921,0
261,1275,0
262,1528,0
263,1320,0
264,1551,0
265,1293,0
266,1391,0
267,1238,0
268,1291,0
269,1345,0
270,1327,0
271,1526,0
272,1210,0
273,1228,0
274,1329,0
275,1487,0
276,1516,0
277,1396,0
278,1528,0
279,1543,0
280,1515,0
281,1256,0
282,1531,0
283,1407,0
284,1321,0
285,1144,0
286,1163,0
287,1207,0
288,1543,0
289,1388,0
290,519,0
291,1527,0
292,1251,0
293,1478,0
294,1524,0
295,1516,0
296,1428,0
297,1323,0
298,839,0
299,729,0
300,1325,0
301,1438,0
302,1477,0
303,641,0
304,1463,0
305,1382,0
306,1489,0
307,1081,0
308,1415,0
309,1520,0
310,1457,0
311,1195,0
312,1036,0
313,1422,0
314,1613,0
315,1559,0
316,983,0
317,590,0
318,1216,0
319,1524,0
320,1527,0
321,1633,0
322,2052,0
323,1414,0
324,1697,0
325,1662,0
326,1604,0
327,1698,0
328,938,0
329,1672,0
330,1800,0
331,1738,0
332,1775,0
333,1740,0
334,1942,0
335,1291,0
336,1460,0
