Episode,Steps,Reward
1,47,0
2,53,0.5
3,57,0.666666667
4,57,1
5,79,2.2
6,61,2.333333333
7,51,2.285714286
8,59,2.25
9,72,2.444444444
10,52,2.4
11,72,2.454545455
12,52,2.333333333
13,46,2.153846154
14,49,2.071428571
15,59,2.066666667
16,57,2.0625
17,72,2.058823529
18,113,2.222222222
19,68,2.210526316
20,59,2.2
21,46,2.095238095
22,79,2.181818182
23,60,2.173913043
24,85,2.166666667
25,49,2.08
26,73,2.115384615
27,40,2.074074074
28,75,2.107142857
29,69,2.137931034
30,56,2.133333333
31,84,2.193548387
32,51,2.1875
33,46,2.151515152
34,72,2.176470588
35,58,2.171428571
36,50,2.138888889
37,102,2.243243243
38,64,2.263157895
39,66,2.256410256
40,46,2.225
41,69,2.268292683
42,59,2.238095238
43,54,2.209302326
44,66,2.227272727
45,62,2.222222222
46,37,2.173913043
47,57,2.170212766
48,82,2.208333333
49,79,2.244897959
50,65,2.26
51,94,2.333333333
52,87,2.384615385
53,74,2.41509434
54,46,2.388888889
55,83,2.436363636
56,74,2.428571429
57,61,2.421052632
58,48,2.379310345
59,52,2.372881356
60,97,2.433333333
61,70,2.442622951
62,73,2.451612903
63,41,2.428571429
64,46,2.390625
65,72,2.4
66,65,2.409090909
67,69,2.417910448
68,53,2.397058824
69,64,2.405797101
70,46,2.385714286
71,54,2.38028169
72,90,2.430555556
73,57,2.424657534
74,52,2.405405405
75,90,2.413333333
76,46,2.394736842
77,55,2.376623377
78,51,2.346153846
79,48,2.316455696
80,68,2.325
81,78,2.333333333
82,55,2.317073171
83,59,2.313253012
84,47,2.297619048
85,77,2.317647059
86,43,2.302325581
87,69,2.298850575
88,85,2.329545455
89,57,2.314606742
90,56,2.311111111
91,77,2.32967033
92,96,2.347826087
93,55,2.344086022
94,51,2.340425532
95,50,2.336842105
96,33,2.3125
97,54,2.309278351
98,68,2.316326531
99,50,2.303030303
100,52,2.28
101,67,2.277227723
102,52,2.264705882
103,56,2.262135922
104,58,2.25
105,64,2.257142857
106,77,2.254716981
107,65,2.261682243
108,45,2.25
109,56,2.247706422
110,83,2.263636364
111,76,2.279279279
112,72,2.294642857
113,55,2.292035398
114,54,2.289473684
115,57,2.286956522
116,57,2.284482759
117,66,2.324786325
118,82,2.330508475
119,80,2.336134454
120,70,2.333333333
121,77,2.347107438
122,43,2.327868852
123,66,2.325203252
124,54,2.322580645
125,51,2.312
126,57,2.30952381
127,82,2.31496063
128,91,2.3515625
129,72,2.356589147
130,82,2.423076923
131,79,2.488549618
132,79,2.522727273
133,88,2.593984962
134,79,2.597014925
135,69,2.6
136,94,2.639705882
137,74,2.649635036
138,109,2.710144928
139,92,2.73381295
140,66,2.764285714
141,75,2.773049645
142,95,2.767605634
143,111,2.797202797
144,86,2.805555556
145,103,2.862068966
146,128,2.917808219
147,99,2.945578231
148,85,2.952702703
149,106,3.006711409
150,82,3.033333333
151,107,3.086092715
152,108,3.138157895
153,96,3.189542484
154,106,3.24025974
155,141,3.264516129
156,134,3.314102564
157,115,3.363057325
158,100,3.411392405
159,99,3.459119497
160,108,3.4875
161,142,3.51552795
162,113,3.561728395
163,126,3.582822086
164,102,3.603658537
165,95,3.648484848
166,91,3.692771084
167,61,3.688622754
168,142,3.732142857
169,126,3.775147929
170,96,3.817647059
171,108,3.877192982
172,89,3.918604651
173,78,3.913294798
174,95,3.954022989
175,115,3.994285714
176,102,4.034090909
177,104,4.073446328
178,120,4.112359551
179,110,4.150837989
180,85,4.188888889
181,96,4.226519337
182,84,4.263736264
183,82,4.300546448
184,102,4.320652174
185,108,4.367567568
186,92,4.403225806
187,83,4.422459893
188,89,4.457446809
189,127,4.492063492
190,151,4.526315789
191,127,4.560209424
192,87,4.59375
193,83,4.590673575
194,114,4.62371134
195,77,4.656410256
196,83,4.68877551
197,94,4.720812183
198,132,4.752525253
199,94,4.783919598
200,76,4.795
201,75,4.786069652
202,82,4.816831683
203,127,4.84729064
204,120,4.857843137
205,117,4.873170732
206,125,4.902912621
207,124,4.937198068
208,192,4.971153846
209,170,5.004784689
210,139,5.038095238
211,141,5.052132701
212,131,5.08490566
213,135,5.089201878
214,122,5.093457944
215,114,5.102325581
216,126,5.12962963
217,173,5.161290323
218,149,5.19266055
219,172,5.219178082
220,142,5.245454545
221,159,5.266968326
222,150,5.301801802
223,185,5.331838565
224,224,5.366071429
225,163,5.395555556
226,167,5.424778761
227,153,5.471365639
