Episode,Steps,Reward
1,63,1
2,64,1.5
3,87,2.666666667
4,56,2.25
5,83,2.8
6,61,2.666666667
7,115,2.714285714
8,69,2.875
9,67,2.888888889
10,56,2.8
11,69,2.727272727
12,72,2.666666667
13,73,2.692307692
14,90,2.714285714
15,41,2.533333333
16,104,2.6875
17,60,2.588235294
18,74,2.611111111
19,81,2.684210526
20,60,2.65
21,97,2.761904762
22,66,2.772727273
23,96,2.869565217
24,69,2.833333333
25,98,2.92
26,60,2.846153846
27,56,2.777777778
28,61,2.75
29,59,2.75862069
30,109,2.9
31,36,2.806451613
32,94,2.84375
33,54,2.818181818
34,56,2.764705882
35,55,2.742857143
36,53,2.666666667
37,83,2.675675676
38,61,2.657894737
39,67,2.641025641
40,75,2.675
41,63,2.682926829
42,54,2.642857143
43,48,2.604651163
44,69,2.590909091
45,41,2.533333333
46,73,2.52173913
47,55,2.510638298
48,78,2.5
49,68,2.510204082
50,61,2.48
51,43,2.431372549
52,59,2.423076923
53,40,2.377358491
54,86,2.425925926
55,67,2.436363636
56,74,2.446428571
57,47,2.403508772
58,58,2.379310345
59,56,2.355932203
60,72,2.366666667
61,64,2.360655738
62,77,2.338709677
63,63,2.333333333
64,67,2.34375
65,100,2.369230769
66,40,2.333333333
67,55,2.328358209
68,73,2.352941176
69,44,2.333333333
70,40,2.3
71,59,2.295774648
72,62,2.305555556
73,64,2.315068493
74,72,2.378378378
75,44,2.36
76,62,2.355263158
77,61,2.337662338
78,64,2.346153846
79,60,2.35443038
80,87,2.375
81,78,2.382716049
82,40,2.353658537
83,83,2.373493976
84,60,2.369047619
85,42,2.352941176
86,66,2.348837209
87,70,2.356321839
88,61,2.352272727
89,72,2.359550562
90,69,2.366666667
91,58,2.351648352
92,51,2.326086957
93,55,2.311827957
94,75,2.329787234
95,67,2.347368421
96,83,2.354166667
97,72,2.360824742
98,113,2.397959184
99,65,2.404040404
100,55,2.4
101,67,2.396039604
102,82,2.411764706
103,50,2.40776699
104,60,2.403846154
105,70,2.40952381
106,63,2.41509434
107,45,2.401869159
108,110,2.435185185
109,89,2.458715596
110,82,2.472727273
111,67,2.477477477
112,76,2.491071429
113,62,2.486725664
114,79,2.535087719
115,61,2.539130435
116,63,2.543103448
117,65,2.538461538
118,87,2.576271186
119,78,2.588235294
120,98,2.625
121,75,2.619834711
122,92,2.655737705
123,79,2.658536585
124,76,2.669354839
125,95,2.744
126,72,2.746031746
127,90,2.755905512
128,74,2.7578125
129,89,2.759689922
130,85,2.792307692
131,95,2.824427481
132,85,2.856060606
133,103,2.879699248
134,109,2.880597015
135,84,2.918518519
136,95,2.977941176
137,85,3.01459854
138,114,3.050724638
139,95,3.079136691
140,92,3.107142857
141,110,3.141843972
142,122,3.211267606
143,101,3.237762238
144,98,3.263888889
145,94,3.296551724
146,117,3.349315068
147,96,3.37414966
148,100,3.405405405
149,104,3.44295302
150,108,3.506666667
151,115,3.562913907
152,92,3.585526316
153,80,3.607843137
154,74,3.62987013
155,73,3.651612903
156,91,3.679487179
157,116,3.72611465
158,107,3.772151899
159,104,3.823899371
160,131,3.86875
161,121,3.919254658
162,158,3.956790123
163,144,4.012269939
164,136,4.036585366
165,151,4.096969697
166,149,4.144578313
167,86,4.167664671
168,143,4.19047619
169,172,4.266272189
170,169,4.317647059
171,158,4.350877193
172,159,4.395348837
173,125,4.416184971
174,164,4.459770115
175,98,4.474285714
176,125,4.488636364
177,229,4.542372881
178,183,4.595505618
179,182,4.659217877
180,166,4.705555556
181,154,4.767955801
182,151,4.813186813
183,159,4.846994536
184,193,4.918478261
185,164,4.956756757
186,170,4.994623656
187,201,5.048128342
188,180,5.10106383
189,174,5.126984127
190,126,5.136842105
191,194,5.204188482
192,145,5.25
193,165,5.300518135
194,139,5.319587629
195,180,5.369230769
196,198,5.43877551
197,185,5.472081218
198,187,5.535353535
199,121,5.552763819
200,172,5.61
201,199,5.666666667
202,135,5.693069307
203,180,5.753694581
204,129,5.774509804
205,168,5.819512195
206,148,5.839805825
207,160,5.893719807
208,172,5.923076923
209,184,5.956937799
210,170,6.014285714
211,166,6.056872038
212,106,6.061320755
213,167,6.107981221
214,158,6.135514019
215,156,6.176744186
216,172,6.236111111
217,158,6.271889401
218,154,6.30733945
219,171,6.333333333
220,177,6.372727273
221,188,6.407239819
222,206,6.468468468
223,185,6.524663677
224,142,6.535714286
225,188,6.586666667
226,155,6.619469027
227,196,6.678414097
228,163,6.736842105
229,195,6.799126638
230,155,6.82173913
231,144,6.848484848
232,153,6.875
233,162,6.909871245
234,181,6.935897436
235,156,6.953191489
236,184,6.995762712
237,187,7.042194093
238,158,7.06302521
239,153,7.083682008
240,182,7.133333333
241,165,7.153526971
242,137,7.185950413
243,155,7.205761317
244,127,7.213114754
245,154,7.248979592
246,198,7.300813008
247,190,7.348178138
248,142,7.362903226
249,181,7.421686747
250,148,7.448
251,182,7.494023904
252,137,7.503968254
253,147,7.517786561
254,173,7.55511811
255,193,7.603921569
256,169,7.63671875
257,156,7.66536965
258,186,7.709302326
259,183,7.749034749
260,138,7.769230769
261,198,7.819923372
262,119,7.824427481
263,142,7.836501901
264,103,7.837121212
265,92,7.830188679
266,190,7.872180451
267,136,7.883895131
268,181,7.921641791
269,127,7.936802974
270,76,7.918518519
271,179,7.955719557
272,152,7.985294118
273,159,8.043956044
274,105,8.040145985
275,163,8.058181818
276,126,8.072463768
277,148,8.097472924
278,120,8.100719424
279,174,8.139784946
280,170,8.160714286
281,157,8.192170819
282,137,8.209219858
283,190,8.275618375
284,107,8.281690141
285,139,8.29122807
286,156,8.318181818
287,162,8.344947735
288,179,8.378472222
289,195,8.429065744
290,162,8.45862069
291,164,8.487972509
292,146,8.510273973
293,138,8.529010239
294,186,8.568027211
295,118,8.569491525
296,144,8.581081081
297,146,8.602693603
298,155,8.627516779
299,158,8.655518395
300,183,8.69
301,153,8.717607973
302,113,8.718543046
303,139,8.735973597
304,131,8.753289474
305,202,8.790163934
306,169,8.816993464
307,146,8.83713355
308,146,8.847402597
309,183,8.883495146
310,189,8.919354839
311,174,8.951768489
312,113,8.948717949
313,120,8.952076677
314,142,8.958598726
315,182,9.012698413
316,147,9.022151899
317,130,9.03785489
318,177,9.053459119
319,197,9.10031348
320,158,9.125
321,164,9.14953271
322,105,9.145962733
323,166,9.173374613
324,170,9.197530864
325,184,9.249230769
326,161,9.273006135
327,176,9.29969419
328,173,9.338414634
329,190,9.3556231
330,159,9.378787879
331,143,9.407854985
332,169,9.430722892
333,149,9.447447447
334,151,9.464071856
335,124,9.465671642
336,189,9.505952381
337,143,9.513353116
338,151,9.532544379
339,167,9.557522124
340,133,9.561764706
341,180,9.589442815
342,128,9.593567251
343,141,9.609329446
344,175,9.63372093
345,155,9.652173913
346,101,9.644508671
347,157,9.665706052
348,129,9.66954023
349,205,9.713467049
350,165,9.737142857
351,124,9.737891738
352,179,9.761363636
353,119,9.76203966
354,178,9.807909605
355,189,9.836619718
356,179,9.862359551
357,158,9.882352941
358,188,9.910614525
359,137,9.913649025
360,185,9.941666667
361,154,9.958448753
362,150,9.964088398
363,188,9.986225895
364,125,9.986263736
365,149,10.00273973
