Steps,Episode number,Episode reward,Episode reward irl,Episode reward combined
678,1,240,300,230
1178,2,90,210,200
1818,3,170,180,150
2356,4,210,160,160
3020,5,200,330,520
3608,6,190,220,120
4392,7,230,250,280
5081,8,200,270,280
5781,9,150,250,190
6723,10,460,150,210
7415,11,270,220,250
8105,12,240,170,250
8676,13,190,190,130
9303,14,260,200,170
9624,15,50,210,180
10175,16,160,190,210
11008,17,320,290,240
11549,18,150,220,190
12160,19,190,130,160
12888,20,260,190,240
13739,21,510,200,410
14320,22,250,200,330
15201,23,410,280,370
16051,24,850,390,250
16795,25,390,400,580
17174,26,180,410,960
17479,27,60,250,1210
18521,28,910,170,1850
19196,29,620,360,660
19903,30,480,840,650
20415,31,390,160,630
21131,32,520,1470,630
21905,33,430,780,440
22471,34,470,400,490
23542,35,950,330,360
24304,36,300,350,110
24844,37,320,850,400
25451,38,530,330,580
26161,39,490,590,780
26844,40,330,540,1300
27387,41,300,650,460
28315,42,650,1090,1710
29459,43,1550,430,360
30030,44,400,550,520
30601,45,300,430,700
31672,46,690,150,510
32321,47,530,1500,480
33104,48,750,580,1200
33919,49,740,300,250
35377,50,1030,390,660
35964,51,500,550,150
36480,52,390,210,140
37374,53,690,960,270
38245,54,610,610,780
39683,55,780,980,710
40236,56,340,620,840
40918,57,440,530,800
41498,58,420,460,380
42260,59,670,610,1270
42819,60,460,1030,310
43493,61,310,480,1030
44426,62,880,770,1980
45137,63,460,660,310
45527,64,240,480,770
46296,65,650,1150,1830
46877,66,360,180,800
47384,67,300,1450,280
48217,68,490,410,710
49027,69,370,320,580
49682,70,430,800,700
50302,71,320,190,260
50842,72,210,670,450
51478,73,580,340,230
52293,74,690,2270,590
53220,75,540,620,510
54212,76,930,1330,870
52293,77,1290,2270,390
53220,78,640,620,410
54212,79,930,1330,1150
52293,80,990,2270,1340
