Episode,Steps,Reward
1,134,0
2,133,0
3,138,0
4,298,1
5,217,1.4
6,216,1.666666667
7,228,1.857142857
8,285,2.125
9,250,2.666666667
10,226,2.7
11,248,3.090909091
12,237,3.083333333
13,226,3.076923077
14,223,3.071428571
15,246,3.133333333
16,264,3.1875
17,271,3.647058824
18,303,4.111111111
19,236,4.052631579
20,251,4.2
21,354,4.619047619
22,396,4.863636364
23,331,5.043478261
24,371,5.291666667
25,380,5.32
26,323,5.346153846
27,335,5.481481481
28,409,5.678571429
29,339,5.793103448
30,315,5.766666667
31,351,5.870967742
32,476,6.0625
33,447,6.212121212
34,450,6.5
35,451,6.571428571
36,571,6.916666667
37,591,7.162162162
38,478,7.236842105
39,614,7.487179487
40,689,7.775
41,590,8
42,562,8.357142857
43,588,8.674418605
44,731,9.022727273
45,551,9.266666667
46,583,9.565217391
47,577,9.872340426
48,523,10.04166667
49,500,10.20408163
50,592,10.34
51,625,10.70588235
52,605,10.94230769
53,689,11.28301887
54,736,11.59259259
55,695,11.8
56,784,12.05357143
57,534,12.43859649
58,668,12.68965517
59,593,12.88135593
60,567,13.05
61,657,13.37704918
62,738,13.5
63,621,13.55555556
64,668,13.796875
65,911,14.10769231
66,787,14.28787879
67,619,14.44776119
68,593,14.60294118
69,632,14.75362319
70,729,15
71,689,15.25352113
72,844,15.41666667
73,939,15.65753425
74,929,15.87837838
75,773,15.94666667
76,826,16.17105263
77,815,16.63636364
78,692,16.83333333
79,990,17.02531646
80,948,17.1875
81,837,17.44444444
82,814,17.84146341
83,956,18.07228916
84,836,18.20238095
85,713,18.34117647
86,935,18.55813953
87,1085,18.82758621
88,802,19.10227273
89,732,19.34831461
90,802,19.61111111
91,816,19.71428571
92,749,19.76086957
93,837,19.88172043
94,819,20.17021277
95,842,20.23157895
96,904,20.34375
97,887,20.81443299
98,868,20.87755102
99,794,20.88888889
100,724,20.88
101,555,20.82178218
102,898,20.85294118
103,867,20.91262136
104,541,20.93269231
105,1037,21.05714286
106,801,21.31132075
107,807,21.54205607
108,885,21.62962963
109,914,21.67889908
110,870,21.72727273
111,868,21.76576577
112,816,21.83928571
113,787,21.9380531
114,888,22.35087719
115,868,22.73043478
116,895,23.11206897
117,939,23.4957265
118,936,23.54237288
119,849,23.54621849
120,899,24.05
121,1067,24.14049587
122,979,24.22131148
123,811,24.43089431
124,806,24.55645161
125,670,24.72
126,794,24.71428571
127,1080,24.97637795
128,471,25.03125
129,858,25.12403101
130,828,25.49230769
131,969,26.02290076
132,974,26.25
133,1170,27.58646617
134,1152,27.67910448
135,1044,28.12592593
136,782,28.08823529
137,1000,28.40875912
138,916,28.6884058
139,864,28.79136691
140,1079,29.18571429
141,1036,29.54609929
142,733,29.5
143,975,29.62937063
144,1104,30.02083333
145,1062,30.48965517
146,790,30.47945205
147,1025,30.59863946
148,1136,30.72972973
149,1042,31.04026846
150,1362,32.39333333
151,976,32.42384106
152,827,32.36184211
153,919,32.47058824
154,825,32.51298701
155,1016,32.59354839
156,938,32.66666667
157,1026,32.98726115
158,1012,33.27848101
159,964,33.54716981
160,690,33.48125
161,726,33.54658385
162,1195,34.7345679
163,850,34.80981595
164,732,34.84146341
165,1038,35.07272727
166,1037,35.87951807
167,1208,37
168,996,36.98809524
169,771,36.89940828
170,917,36.90588235
171,767,36.94152047
172,1406,38.04069767
173,987,38.23699422
174,969,38.45402299
175,1056,38.69142857
176,602,38.59090909
177,1010,38.81920904
178,994,39.03932584
179,959,39.25139665
180,1332,40.94444444
181,834,40.90607735
182,941,40.88461538
183,808,40.82513661
184,928,40.76630435
185,986,40.82702703
186,1077,41.01075269
187,782,41.09625668
188,1401,42.78723404
189,1332,44.38095238
190,1339,45.93684211
191,1362,47.57591623
192,1389,49.19791667
193,1430,50.81865285
194,1391,52.37628866
195,1072,52.46666667
196,925,52.51530612
197,1086,52.74111675
198,1022,52.90909091
199,968,52.94472362
200,1045,53.09
201,1096,53.24378109
202,1225,53.90594059
203,1362,55.408867
204,1207,55.43627451
205,1330,56.89268293
206,1294,58.23786408
207,1145,58.26570048
208,1472,59.77884615
209,950,59.66985646
210,999,59.61904762
211,1130,59.69668246
212,1216,59.77358491
213,911,59.81690141
214,1146,59.8317757
215,1480,61.25581395
216,1362,62.63425926
217,978,62.58986175
218,1454,63.97706422
219,1444,65.33333333
220,863,65.2
221,955,65.21266968
222,1046,65.06306306
223,957,65.07623318
224,1151,65.57589286
225,957,66.39555556
226,1444,67.69911504
227,1444,68.99118943
228,1488,70.27631579
229,1134,70.25764192
230,1062,70.22173913
231,1271,70.16450216
232,1155,70.15948276
233,1260,70.20171674
234,1168,70.24786325
235,1388,71.51914894
236,1085,71.49152542
237,871,71.28270042
238,939,71.68487395
239,1375,72.78661088
240,1120,73.325
241,1260,74.00414938
242,1136,73.97520661
243,1395,75.08641975
244,1400,76.19262295
245,1400,77.28571429
246,1482,78.46747967
247,1612,79.67206478
248,1454,80.70564516
249,1215,80.74698795
250,1207,80.832
251,1230,80.83665339
252,1148,80.77777778
253,486,80.6284585
254,1018,80.62992126
255,1437,81.70980392
256,1515,82.70703125
257,1458,83.692607
258,1526,84.85271318
259,1435,85.94980695
260,921,85.80384615
261,1275,86.00766284
262,1528,86.85496183
263,1320,87.37642586
264,1551,88.17045455
265,1293,88.22264151
266,1391,88.5
267,1238,88.66666667
268,1291,88.90671642
269,1345,89.20446097
270,1327,90.18888889
271,1526,91.04797048
272,1210,91.12867647
273,1228,91.25641026
274,1329,91.4379562
275,1487,92.45090909
276,1516,93.26811594
277,1396,93.44404332
278,1528,94.27697842
279,1543,95.30824373
280,1515,96.13214286
281,1256,96.29537367
282,1531,97.09574468
283,1407,97.95759717
284,1321,98.45422535
285,1144,98.43859649
286,1163,98.41608392
287,1207,98.41811847
288,1543,99.23263889
289,1388,99.8615917
290,519,99.57586207
291,1527,100.4089347
292,1251,100.4041096
293,1478,101.2901024
294,1524,101.9829932
295,1516,102.8
296,1428,103.3648649
297,1323,103.8080808
298,839,103.6208054
299,729,103.3645485
300,1325,103.8833333
301,1438,104.5116279
302,1477,105.3046358
303,641,105.0231023
304,1463,105.7631579
305,1382,106.2688525
306,1489,106.9836601
307,1081,107.742671
308,1415,108.3181818
309,1520,109.1488673
310,1457,109.616129
311,1195,109.4951768
312,1036,109.3044872
313,1422,109.9872204
314,1613,110.6878981
315,1559,111.5079365
316,983,111.414557
317,590,111.126183
318,1216,111.0974843
319,1524,111.7774295
320,1527,112.534375
321,1633,113.3520249
322,2052,114.1956522
323,1414,114.7275542
324,1697,115.5709877
325,1662,116.4061538
326,1604,117.2239264
327,1698,118.0397554
328,938,117.8536585
329,1672,118.6595745
330,1800,119.4939394
331,1738,120.2960725
332,1775,121.1325301
333,1740,121.8978979
334,1942,122.6916168
335,1291,122.7253731
336,1460,123.3154762
337,1604,124.0860534
338,1706,124.8668639
339,1710,125.6578171
340,718,125.35
341,1862,126.1407625
342,893,125.877193
343,1853,126.6763848
344,1774,127.4651163
345,1998,128.2898551
346,1842,129.0751445
347,1624,129.7262248
348,1881,130.5229885
349,1816,131.2951289
350,1370,131.8914286
351,1848,132.6495726
352,1931,133.4318182
353,1920,134.2181303
354,1646,134.9067797
355,1948,135.6704225
356,1670,136.3707865
357,2149,137.1372549
358,1322,137.1731844
359,1992,137.9164345
360,774,137.7055556
361,1775,138.4376731
362,950,138.1740331
363,1928,138.9256198
